sol,name,udr_image_id,filter_used,comp_quality
185,McamRImage_0413915668-00000-1,16013,5,-85
318,McamRRecoveredProduct_0425717548-51933-1,16013,NULL,0
318,McamRRecoveredProduct_0425717548-51933-2,16013,NULL,0
185,McamRImage_0413915690-00000-1,16014,6,-85
318,McamRRecoveredProduct_0425717552-05403-1,16014,NULL,0
318,McamRRecoveredProduct_0425717552-05403-2,16014,NULL,0
185,McamRImage_0413915752-00000-1,16016,5,-85
318,McamRRecoveredProduct_0425717558-47633-1,16016,NULL,0
318,McamRRecoveredProduct_0425717558-47633-2,16016,NULL,0
185,McamRImage_0413915772-00000-1,16017,6,-85
318,McamRRecoveredProduct_0425717561-65486-1,16017,NULL,0
318,McamRRecoveredProduct_0425717561-65486-2,16017,NULL,0
185,McamRImage_0413915834-00000-1,16019,5,-85
318,McamRRecoveredProduct_0425717568-62411-1,16019,NULL,0
318,McamRRecoveredProduct_0425717568-62411-2,16019,NULL,0
185,McamRImage_0413915853-00000-1,16020,6,-85
318,McamRRecoveredProduct_0425717572-14790-1,16020,NULL,0
185,McamRImage_0413915916-00000-1,16022,5,-85
318,McamRRecoveredProduct_0425717578-54970-1,16022,NULL,0
185,McamRImage_0413915935-00000-1,16023,6,-85
318,McamRRecoveredProduct_0425717582-06586-1,16023,NULL,0
185,McamRImage_0413915995-00000-1,16025,5,-85
318,McamRRecoveredProduct_0425717588-46383-1,16025,NULL,0
185,McamRImage_0413916014-00000-1,16026,6,-85
318,McamRRecoveredProduct_0425717591-62185-1,16026,NULL,0
185,McamRImage_0413916077-00000-1,16028,5,-85
318,McamRRecoveredProduct_0425717598-35542-1,16028,NULL,0
185,McamRImage_0413916097-00000-1,16029,6,-85
318,McamRRecoveredProduct_0425717601-50715-1,16029,NULL,0
185,McamRImage_0413916157-00000-1,16031,5,-85
318,McamRRecoveredProduct_0425717608-26912-1,16031,NULL,0
185,McamRImage_0413916177-00000-1,16032,6,-85
318,McamRRecoveredProduct_0425717611-40563-1,16032,NULL,0
185,McamRImage_0413916234-00000-1,16034,5,-85
318,McamRRecoveredProduct_0425717618-19922-1,16034,NULL,0
185,McamRImage_0413916253-00000-1,16035,6,-85
318,McamRRecoveredProduct_0425717621-56870-1,16035,NULL,0
185,McamRImage_0413916310-00000-1,16037,5,-85
318,McamRRecoveredProduct_0425717628-34244-1,16037,NULL,0
185,McamRImage_0413916329-00000-1,16038,6,-85
318,McamRRecoveredProduct_0425717631-53727-1,16038,NULL,0
315,McamRImage_0425463978-00000-1,22588,0,-85
489,McamRRecoveredProduct_0440917153-05427-1,22588,NULL,0
315,McamRImage_0425464013-00000-1,22590,0,-85
489,McamRRecoveredProduct_0440917157-20158-1,22590,NULL,0
315,McamRImage_0425464034-00000-1,22592,0,-85
489,McamRRecoveredProduct_0440917161-33505-1,22592,NULL,0
315,McamRImage_0425464072-00000-1,22594,0,-85
489,McamRRecoveredProduct_0440917165-47696-1,22594,NULL,0
315,McamRImage_0425464093-00000-1,22596,0,-85
489,McamRRecoveredProduct_0440917171-28365-1,22596,NULL,0
315,McamRImage_0425464131-00000-1,22598,0,-85
489,McamRRecoveredProduct_0440917177-02334-1,22598,NULL,0
489,McamRRecoveredProduct_0440917177-02334-2,22598,NULL,0
315,McamRImage_0425464152-00000-1,22600,0,-85
489,McamRRecoveredProduct_0440917182-26181-1,22600,NULL,0
315,McamRImage_0425464190-00000-1,22602,0,-85
489,McamRRecoveredProduct_0440917185-50053-1,22602,NULL,0
315,McamRImage_0425464211-00000-1,22604,0,-85
489,McamRRecoveredProduct_0440917189-13169-1,22604,NULL,0
